node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,low,33.328,0.854564,9.4353,0,38
SOS005L04P,low,35.974,0.92241,3.904,2,38
SOS003L04P,low,35.54,0.911282,5.092,1,38
SOS002L09P,low,35.66,0.914359,4.9202,1,38
SOS001L12P,low,35.6,0.912821,4.9481,0,38
SOS500M24P,low,35.838,0.918923,3.8853,1,38
SOS250M48P,low,34.588,0.886872,7.4155,0,38
SOP001L12P,low,32.152,0.82441,11.2206,0,38
POV005L04P,low,34.264,0.878564,7.9966,0,38
POV002L09P,low,35.476,0.909641,5.1491,0,38
POV001L24P,low,35.8,0.917949,4.3804,1,38
POV500M24P,low,35.714,0.915744,4.514,1,38
POP001L12P,low,34.714,0.890103,6.9498,0,38
POP015K,low,0.876,0.022462,0.9801,0,4
SO0005L04P,low,0.16,0.004103,0.3666,0,1
SO0002L09P,low,0.16,0.004103,0.3666,0,1
SO0001L12P,low,0.0,0.0,0.0,0,0
SO0500M24P,low,0.0,0.0,0.0,0,0
POP005L04P,low,33.802,0.866718,8.7979,0,38
POP002L09P,low,35.83,0.918718,3.6755,1,38
POP500M24P,low,33.762,0.865692,9.1624,0,38
POPF01L12P,low,35.316,0.905538,5.6678,0,38
AT5X5K,low,35.7,0.915385,4.5058,0,38
ATN02K12P,low,35.954,0.921897,3.5502,0,38
ATN01K24P,low,28.552,0.732103,14.7588,0,38
MAR02K12P,low,35.86,0.919487,3.3407,0,38
MAR01K24P,low,0.602,0.015436,0.74,0,3
ATWWP002K12P,low,35.27,0.904359,5.7891,0,38
ATWWP001K24P,low,23.41,0.600256,16.4338,0,38
MASR025K,low,26.65,0.683333,15.435,0,38
MAHS025K,low,35.808,0.918154,3.9124,1,38
SE500G24P,low,32.72,0.838974,10.4457,0,38
SE200G24P,low,0.372,0.009538,0.581,0,2
ATPPCH5X5K,low,0.222,0.005692,0.4655,0,2
ATPA1K24P,low,0.134,0.003436,0.3407,0,1
MAPA1K24P,low,0.112,0.002872,0.3154,0,1
MAP1K25P,low,0.0,0.0,0.0,0,0
MAC1K25P,low,0.166,0.004256,0.3721,0,1
EEA500G12P,low,0.0,0.0,0.0,0,0
EEA200G24P,low,0.0,0.0,0.0,0,0
