node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SUP::Supplier 3,high,19.0,0.175926,0.0,19,19
SKU::SKU0,high,1.0,0.009259,0.0,1,1
CUST::Non-binary,high,0.0,0.0,0.0,0,0
SKU::SKU1,high,1.0,0.009259,0.0,1,1
CUST::Female,high,0.0,0.0,0.0,0,0
SUP::Supplier 1,high,31.0,0.287037,0.0,31,31
SKU::SKU2,high,1.0,0.009259,0.0,1,1
CUST::Unknown,high,0.0,0.0,0.0,0,0
SUP::Supplier 5,high,22.0,0.203704,0.0,22,22
SKU::SKU3,high,1.0,0.009259,0.0,1,1
SKU::SKU4,high,1.0,0.009259,0.0,1,1
SUP::Supplier 4,high,22.0,0.203704,0.0,22,22
SKU::SKU5,high,1.0,0.009259,0.0,1,1
SKU::SKU6,high,1.0,0.009259,0.0,1,1
CUST::Male,high,0.0,0.0,0.0,0,0
SKU::SKU7,high,1.0,0.009259,0.0,1,1
SKU::SKU8,high,1.0,0.009259,0.0,1,1
SUP::Supplier 2,high,26.0,0.240741,0.0,26,26
SKU::SKU9,high,1.0,0.009259,0.0,1,1
SKU::SKU10,high,1.0,0.009259,0.0,1,1
SKU::SKU11,high,1.0,0.009259,0.0,1,1
SKU::SKU12,high,1.0,0.009259,0.0,1,1
SKU::SKU13,high,1.0,0.009259,0.0,1,1
SKU::SKU14,high,1.0,0.009259,0.0,1,1
SKU::SKU15,high,1.0,0.009259,0.0,1,1
SKU::SKU16,high,1.0,0.009259,0.0,1,1
SKU::SKU17,high,1.0,0.009259,0.0,1,1
SKU::SKU18,high,1.0,0.009259,0.0,1,1
SKU::SKU19,high,1.0,0.009259,0.0,1,1
SKU::SKU20,high,1.0,0.009259,0.0,1,1
SKU::SKU21,high,1.0,0.009259,0.0,1,1
SKU::SKU22,high,1.0,0.009259,0.0,1,1
SKU::SKU23,high,1.0,0.009259,0.0,1,1
SKU::SKU24,high,1.0,0.009259,0.0,1,1
SKU::SKU25,high,1.0,0.009259,0.0,1,1
SKU::SKU26,high,1.0,0.009259,0.0,1,1
SKU::SKU27,high,1.0,0.009259,0.0,1,1
SKU::SKU28,high,1.0,0.009259,0.0,1,1
SKU::SKU29,high,1.0,0.009259,0.0,1,1
SKU::SKU30,high,1.0,0.009259,0.0,1,1
SKU::SKU31,high,1.0,0.009259,0.0,1,1
SKU::SKU32,high,1.0,0.009259,0.0,1,1
SKU::SKU33,high,1.0,0.009259,0.0,1,1
SKU::SKU34,high,1.0,0.009259,0.0,1,1
SKU::SKU35,high,1.0,0.009259,0.0,1,1
SKU::SKU36,high,1.0,0.009259,0.0,1,1
SKU::SKU37,high,1.0,0.009259,0.0,1,1
SKU::SKU38,high,1.0,0.009259,0.0,1,1
SKU::SKU39,high,1.0,0.009259,0.0,1,1
SKU::SKU40,high,1.0,0.009259,0.0,1,1
SKU::SKU41,high,1.0,0.009259,0.0,1,1
SKU::SKU42,high,1.0,0.009259,0.0,1,1
SKU::SKU43,high,1.0,0.009259,0.0,1,1
SKU::SKU44,high,1.0,0.009259,0.0,1,1
SKU::SKU45,high,1.0,0.009259,0.0,1,1
SKU::SKU46,high,1.0,0.009259,0.0,1,1
SKU::SKU47,high,1.0,0.009259,0.0,1,1
SKU::SKU48,high,1.0,0.009259,0.0,1,1
SKU::SKU49,high,1.0,0.009259,0.0,1,1
SKU::SKU50,high,1.0,0.009259,0.0,1,1
SKU::SKU51,high,1.0,0.009259,0.0,1,1
SKU::SKU52,high,1.0,0.009259,0.0,1,1
SKU::SKU53,high,1.0,0.009259,0.0,1,1
SKU::SKU54,high,1.0,0.009259,0.0,1,1
SKU::SKU55,high,1.0,0.009259,0.0,1,1
SKU::SKU56,high,1.0,0.009259,0.0,1,1
