node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SUP::Supplier 3,low,5.856,0.054222,2.3433,1,13
SKU::SKU0,low,0.336,0.003111,0.4723,0,1
CUST::Non-binary,low,0.0,0.0,0.0,0,0
SKU::SKU1,low,0.336,0.003111,0.4723,0,1
CUST::Female,low,0.0,0.0,0.0,0,0
SUP::Supplier 1,low,10.286,0.095241,2.9169,2,19
SKU::SKU2,low,0.336,0.003111,0.4723,0,1
CUST::Unknown,low,0.0,0.0,0.0,0,0
SUP::Supplier 5,low,7.024,0.065037,2.5752,0,15
SKU::SKU3,low,0.336,0.003111,0.4723,0,1
SKU::SKU4,low,0.336,0.003111,0.4723,0,1
SUP::Supplier 4,low,7.01,0.064907,2.4831,0,14
SKU::SKU5,low,0.336,0.003111,0.4723,0,1
SKU::SKU6,low,0.336,0.003111,0.4723,0,1
CUST::Male,low,0.0,0.0,0.0,0,0
SKU::SKU7,low,0.336,0.003111,0.4723,0,1
SKU::SKU8,low,0.336,0.003111,0.4723,0,1
SUP::Supplier 2,low,8.518,0.07887,2.6301,1,15
SKU::SKU9,low,0.336,0.003111,0.4723,0,1
SKU::SKU10,low,0.336,0.003111,0.4723,0,1
SKU::SKU11,low,0.336,0.003111,0.4723,0,1
SKU::SKU12,low,0.336,0.003111,0.4723,0,1
SKU::SKU13,low,0.336,0.003111,0.4723,0,1
SKU::SKU14,low,0.336,0.003111,0.4723,0,1
SKU::SKU15,low,0.336,0.003111,0.4723,0,1
SKU::SKU16,low,0.336,0.003111,0.4723,0,1
SKU::SKU17,low,0.336,0.003111,0.4723,0,1
SKU::SKU18,low,0.336,0.003111,0.4723,0,1
SKU::SKU19,low,0.336,0.003111,0.4723,0,1
SKU::SKU20,low,0.336,0.003111,0.4723,0,1
SKU::SKU21,low,0.336,0.003111,0.4723,0,1
SKU::SKU22,low,0.336,0.003111,0.4723,0,1
SKU::SKU23,low,0.336,0.003111,0.4723,0,1
SKU::SKU24,low,0.336,0.003111,0.4723,0,1
SKU::SKU25,low,0.336,0.003111,0.4723,0,1
SKU::SKU26,low,0.336,0.003111,0.4723,0,1
SKU::SKU27,low,0.336,0.003111,0.4723,0,1
SKU::SKU28,low,0.336,0.003111,0.4723,0,1
SKU::SKU29,low,0.336,0.003111,0.4723,0,1
SKU::SKU30,low,0.336,0.003111,0.4723,0,1
SKU::SKU31,low,0.336,0.003111,0.4723,0,1
SKU::SKU32,low,0.336,0.003111,0.4723,0,1
SKU::SKU33,low,0.336,0.003111,0.4723,0,1
SKU::SKU34,low,0.336,0.003111,0.4723,0,1
SKU::SKU35,low,0.336,0.003111,0.4723,0,1
SKU::SKU36,low,0.336,0.003111,0.4723,0,1
SKU::SKU37,low,0.336,0.003111,0.4723,0,1
SKU::SKU38,low,0.336,0.003111,0.4723,0,1
SKU::SKU39,low,0.336,0.003111,0.4723,0,1
SKU::SKU40,low,0.336,0.003111,0.4723,0,1
SKU::SKU41,low,0.336,0.003111,0.4723,0,1
SKU::SKU42,low,0.336,0.003111,0.4723,0,1
SKU::SKU43,low,0.336,0.003111,0.4723,0,1
SKU::SKU44,low,0.336,0.003111,0.4723,0,1
SKU::SKU45,low,0.336,0.003111,0.4723,0,1
SKU::SKU46,low,0.336,0.003111,0.4723,0,1
SKU::SKU47,low,0.336,0.003111,0.4723,0,1
SKU::SKU48,low,0.336,0.003111,0.4723,0,1
SKU::SKU49,low,0.336,0.003111,0.4723,0,1
SKU::SKU50,low,0.336,0.003111,0.4723,0,1
SKU::SKU51,low,0.336,0.003111,0.4723,0,1
SKU::SKU52,low,0.336,0.003111,0.4723,0,1
SKU::SKU53,low,0.336,0.003111,0.4723,0,1
SKU::SKU54,low,0.336,0.003111,0.4723,0,1
SKU::SKU55,low,0.336,0.003111,0.4723,0,1
SKU::SKU56,low,0.336,0.003111,0.4723,0,1
SKU::SKU57,low,0.336,0.003111,0.4723,0,1
SKU::SKU58,low,0.336,0.003111,0.4723,0,1
SKU::SKU59,low,0.336,0.003111,0.4723,0,1
SKU::SKU60,low,0.336,0.003111,0.4723,0,1
SKU::SKU61,low,0.336,0.003111,0.4723,0,1
SKU::SKU62,low,0.336,0.003111,0.4723,0,1
SKU::SKU63,low,0.336,0.003111,0.4723,0,1
SKU::SKU64,low,0.336,0.003111,0.4723,0,1
SKU::SKU65,low,0.336,0.003111,0.4723,0,1
SKU::SKU66,low,0.336,0.003111,0.4723,0,1
SKU::SKU67,low,0.336,0.003111,0.4723,0,1
SKU::SKU68,low,0.336,0.003111,0.4723,0,1
SKU::SKU69,low,0.336,0.003111,0.4723,0,1
SKU::SKU70,low,0.336,0.003111,0.4723,0,1
SKU::SKU71,low,0.336,0.003111,0.4723,0,1
SKU::SKU72,low,0.336,0.003111,0.4723,0,1
SKU::SKU73,low,0.336,0.003111,0.4723,0,1
SKU::SKU74,low,0.336,0.003111,0.4723,0,1
SKU::SKU75,low,0.336,0.003111,0.4723,0,1
SKU::SKU76,low,0.336,0.003111,0.4723,0,1
SKU::SKU77,low,0.336,0.003111,0.4723,0,1
SKU::SKU78,low,0.336,0.003111,0.4723,0,1
SKU::SKU79,low,0.336,0.003111,0.4723,0,1
SKU::SKU80,low,0.336,0.003111,0.4723,0,1
SKU::SKU81,low,0.336,0.003111,0.4723,0,1
SKU::SKU82,low,0.336,0.003111,0.4723,0,1
SKU::SKU83,low,0.336,0.003111,0.4723,0,1
SKU::SKU84,low,0.336,0.003111,0.4723,0,1
SKU::SKU85,low,0.336,0.003111,0.4723,0,1
SKU::SKU86,low,0.336,0.003111,0.4723,0,1
SKU::SKU87,low,0.336,0.003111,0.4723,0,1
SKU::SKU88,low,0.336,0.003111,0.4723,0,1
SKU::SKU89,low,0.336,0.003111,0.4723,0,1
SKU::SKU90,low,0.336,0.003111,0.4723,0,1
SKU::SKU91,low,0.336,0.003111,0.4723,0,1
SKU::SKU92,low,0.336,0.003111,0.4723,0,1
SKU::SKU93,low,0.336,0.003111,0.4723,0,1
