node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SUP::Supplier 3,medium,14.034,0.129944,2.069,7,19
SKU::SKU0,medium,0.698,0.006463,0.4591,0,1
CUST::Non-binary,medium,0.0,0.0,0.0,0,0
SKU::SKU1,medium,0.698,0.006463,0.4591,0,1
CUST::Female,medium,0.0,0.0,0.0,0,0
SUP::Supplier 1,medium,22.7,0.210185,2.4751,15,29
SKU::SKU2,medium,0.698,0.006463,0.4591,0,1
CUST::Unknown,medium,0.0,0.0,0.0,0,0
SUP::Supplier 5,medium,16.348,0.15137,2.1201,8,21
SKU::SKU3,medium,0.698,0.006463,0.4591,0,1
SKU::SKU4,medium,0.698,0.006463,0.4591,0,1
SUP::Supplier 4,medium,16.288,0.150815,2.1838,6,22
SKU::SKU5,medium,0.698,0.006463,0.4591,0,1
SKU::SKU6,medium,0.698,0.006463,0.4591,0,1
CUST::Male,medium,0.0,0.0,0.0,0,0
SKU::SKU7,medium,0.698,0.006463,0.4591,0,1
SKU::SKU8,medium,0.698,0.006463,0.4591,0,1
SUP::Supplier 2,medium,19.088,0.176741,2.2848,12,25
SKU::SKU9,medium,0.698,0.006463,0.4591,0,1
SKU::SKU10,medium,0.698,0.006463,0.4591,0,1
SKU::SKU11,medium,0.698,0.006463,0.4591,0,1
SKU::SKU12,medium,0.698,0.006463,0.4591,0,1
SKU::SKU13,medium,0.698,0.006463,0.4591,0,1
SKU::SKU14,medium,0.698,0.006463,0.4591,0,1
SKU::SKU15,medium,0.698,0.006463,0.4591,0,1
SKU::SKU16,medium,0.698,0.006463,0.4591,0,1
SKU::SKU17,medium,0.698,0.006463,0.4591,0,1
SKU::SKU18,medium,0.698,0.006463,0.4591,0,1
SKU::SKU19,medium,0.698,0.006463,0.4591,0,1
SKU::SKU20,medium,0.698,0.006463,0.4591,0,1
SKU::SKU21,medium,0.698,0.006463,0.4591,0,1
SKU::SKU22,medium,0.698,0.006463,0.4591,0,1
SKU::SKU23,medium,0.698,0.006463,0.4591,0,1
SKU::SKU24,medium,0.698,0.006463,0.4591,0,1
SKU::SKU25,medium,0.698,0.006463,0.4591,0,1
SKU::SKU26,medium,0.698,0.006463,0.4591,0,1
SKU::SKU27,medium,0.698,0.006463,0.4591,0,1
SKU::SKU28,medium,0.698,0.006463,0.4591,0,1
SKU::SKU29,medium,0.698,0.006463,0.4591,0,1
SKU::SKU30,medium,0.698,0.006463,0.4591,0,1
SKU::SKU31,medium,0.698,0.006463,0.4591,0,1
SKU::SKU32,medium,0.698,0.006463,0.4591,0,1
SKU::SKU33,medium,0.698,0.006463,0.4591,0,1
SKU::SKU34,medium,0.698,0.006463,0.4591,0,1
SKU::SKU35,medium,0.698,0.006463,0.4591,0,1
SKU::SKU36,medium,0.698,0.006463,0.4591,0,1
SKU::SKU37,medium,0.698,0.006463,0.4591,0,1
SKU::SKU38,medium,0.698,0.006463,0.4591,0,1
SKU::SKU39,medium,0.698,0.006463,0.4591,0,1
SKU::SKU40,medium,0.698,0.006463,0.4591,0,1
SKU::SKU41,medium,0.698,0.006463,0.4591,0,1
SKU::SKU42,medium,0.698,0.006463,0.4591,0,1
SKU::SKU43,medium,0.698,0.006463,0.4591,0,1
SKU::SKU44,medium,0.698,0.006463,0.4591,0,1
SKU::SKU45,medium,0.698,0.006463,0.4591,0,1
SKU::SKU46,medium,0.698,0.006463,0.4591,0,1
SKU::SKU47,medium,0.698,0.006463,0.4591,0,1
SKU::SKU48,medium,0.698,0.006463,0.4591,0,1
SKU::SKU49,medium,0.698,0.006463,0.4591,0,1
SKU::SKU50,medium,0.698,0.006463,0.4591,0,1
SKU::SKU51,medium,0.698,0.006463,0.4591,0,1
SKU::SKU52,medium,0.698,0.006463,0.4591,0,1
SKU::SKU53,medium,0.698,0.006463,0.4591,0,1
SKU::SKU54,medium,0.698,0.006463,0.4591,0,1
SKU::SKU55,medium,0.698,0.006463,0.4591,0,1
SKU::SKU56,medium,0.698,0.006463,0.4591,0,1
SKU::SKU57,medium,0.698,0.006463,0.4591,0,1
SKU::SKU58,medium,0.698,0.006463,0.4591,0,1
SKU::SKU59,medium,0.698,0.006463,0.4591,0,1
SKU::SKU60,medium,0.698,0.006463,0.4591,0,1
SKU::SKU61,medium,0.698,0.006463,0.4591,0,1
SKU::SKU62,medium,0.698,0.006463,0.4591,0,1
SKU::SKU63,medium,0.698,0.006463,0.4591,0,1
SKU::SKU64,medium,0.698,0.006463,0.4591,0,1
SKU::SKU65,medium,0.698,0.006463,0.4591,0,1
SKU::SKU66,medium,0.698,0.006463,0.4591,0,1
SKU::SKU67,medium,0.698,0.006463,0.4591,0,1
SKU::SKU68,medium,0.698,0.006463,0.4591,0,1
SKU::SKU69,medium,0.698,0.006463,0.4591,0,1
SKU::SKU70,medium,0.698,0.006463,0.4591,0,1
SKU::SKU71,medium,0.698,0.006463,0.4591,0,1
SKU::SKU72,medium,0.698,0.006463,0.4591,0,1
SKU::SKU73,medium,0.698,0.006463,0.4591,0,1
SKU::SKU74,medium,0.698,0.006463,0.4591,0,1
SKU::SKU75,medium,0.698,0.006463,0.4591,0,1
SKU::SKU76,medium,0.698,0.006463,0.4591,0,1
SKU::SKU77,medium,0.698,0.006463,0.4591,0,1
SKU::SKU78,medium,0.698,0.006463,0.4591,0,1
SKU::SKU79,medium,0.698,0.006463,0.4591,0,1
SKU::SKU80,medium,0.698,0.006463,0.4591,0,1
SKU::SKU81,medium,0.698,0.006463,0.4591,0,1
SKU::SKU82,medium,0.698,0.006463,0.4591,0,1
SKU::SKU83,medium,0.698,0.006463,0.4591,0,1
SKU::SKU84,medium,0.698,0.006463,0.4591,0,1
SKU::SKU85,medium,0.698,0.006463,0.4591,0,1
SKU::SKU86,medium,0.698,0.006463,0.4591,0,1
SKU::SKU87,medium,0.698,0.006463,0.4591,0,1
SKU::SKU88,medium,0.698,0.006463,0.4591,0,1
SKU::SKU89,medium,0.698,0.006463,0.4591,0,1
SKU::SKU90,medium,0.698,0.006463,0.4591,0,1
SKU::SKU91,medium,0.698,0.006463,0.4591,0,1
SKU::SKU92,medium,0.698,0.006463,0.4591,0,1
SKU::SKU93,medium,0.698,0.006463,0.4591,0,1
SKU::SKU94,medium,0.698,0.006463,0.4591,0,1
SKU::SKU95,medium,0.698,0.006463,0.4591,0,1
SKU::SKU96,medium,0.698,0.006463,0.4591,0,1
SKU::SKU97,medium,0.698,0.006463,0.4591,0,1
SKU::SKU98,medium,0.698,0.006463,0.4591,0,1
SKU::SKU99,medium,0.698,0.006463,0.4591,0,1
