node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,medium,37.994,0.974205,0.0772,37,38
SOS005L04P,medium,37.994,0.974205,0.0772,37,38
SOS003L04P,medium,37.986,0.974,0.1175,37,38
SOS002L09P,medium,37.988,0.974051,0.1089,37,38
SOS001L12P,medium,37.986,0.974,0.1175,37,38
SOS500M24P,medium,37.992,0.974154,0.0891,37,38
SOS250M48P,medium,37.984,0.973949,0.1255,37,38
SOP001L12P,medium,37.926,0.972462,1.4767,5,38
POV005L04P,medium,37.984,0.973949,0.1255,37,38
POV002L09P,medium,37.986,0.974,0.1175,37,38
POV001L24P,medium,37.99,0.974103,0.0995,37,38
POV500M24P,medium,37.992,0.974154,0.0891,37,38
POP001L12P,medium,37.99,0.974103,0.0995,37,38
POP015K,medium,2.192,0.056205,1.2534,0,4
SO0005L04P,medium,0.86,0.022051,0.7645,0,2
SO0002L09P,medium,0.398,0.010205,0.4895,0,1
SO0001L12P,medium,0.0,0.0,0.0,0,0
SO0500M24P,medium,0.0,0.0,0.0,0,0
POP005L04P,medium,37.982,0.973897,0.133,37,38
POP002L09P,medium,37.994,0.974205,0.0772,37,38
POP500M24P,medium,37.992,0.974154,0.0891,37,38
POPF01L12P,medium,37.992,0.974154,0.0891,37,38
AT5X5K,medium,37.992,0.974154,0.0891,37,38
ATN02K12P,medium,37.992,0.974154,0.0891,37,38
ATN01K24P,medium,37.542,0.962615,4.067,0,38
MAR02K12P,medium,37.99,0.974103,0.0995,37,38
MAR01K24P,medium,1.47,0.037692,1.0301,0,3
ATWWP002K12P,medium,37.984,0.973949,0.1255,37,38
ATWWP001K24P,medium,36.974,0.948051,5.7231,3,38
MASR025K,medium,37.722,0.967231,2.9538,1,38
MAHS025K,medium,37.994,0.974205,0.0772,37,38
SE500G24P,medium,37.986,0.974,0.1175,37,38
SE200G24P,medium,0.898,0.023026,0.7795,0,2
ATPPCH5X5K,medium,0.894,0.022923,0.9585,0,3
ATPA1K24P,medium,0.35,0.008974,0.477,0,1
MAPA1K24P,medium,0.57,0.014615,0.7107,0,2
MAP1K25P,medium,0.0,0.0,0.0,0,0
MAC1K25P,medium,0.416,0.010667,0.4929,0,1
EEA500G12P,medium,0.0,0.0,0.0,0,0
EEA200G24P,medium,0.0,0.0,0.0,0,0
