node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,high,37.994,0.974205,0.0772,37,38
SOS005L04P,high,37.994,0.974205,0.0772,37,38
SOS003L04P,high,37.996,0.974256,0.0631,37,38
SOS002L09P,high,37.996,0.974256,0.0631,37,38
SOS001L12P,high,37.996,0.974256,0.0631,37,38
SOS500M24P,high,37.996,0.974256,0.0631,37,38
SOS250M48P,high,37.998,0.974308,0.0447,37,38
SOP001L12P,high,37.998,0.974308,0.0447,37,38
POV005L04P,high,37.998,0.974308,0.0447,37,38
POV002L09P,high,37.996,0.974256,0.0631,37,38
POV001L24P,high,37.996,0.974256,0.0631,37,38
POV500M24P,high,38.0,0.974359,0.0,38,38
POP001L12P,high,37.994,0.974205,0.0772,37,38
POP015K,high,3.258,0.083538,1.4041,0,4
SO0005L04P,high,1.764,0.045231,0.4943,0,2
SO0002L09P,high,0.808,0.020718,0.3939,0,1
SO0001L12P,high,0.0,0.0,0.0,0,0
SO0500M24P,high,0.0,0.0,0.0,0,0
POP005L04P,high,37.998,0.974308,0.0447,37,38
POP002L09P,high,37.998,0.974308,0.0447,37,38
POP500M24P,high,37.996,0.974256,0.0631,37,38
POPF01L12P,high,37.998,0.974308,0.0447,37,38
AT5X5K,high,38.0,0.974359,0.0,38,38
ATN02K12P,high,38.0,0.974359,0.0,38,38
ATN01K24P,high,37.152,0.952615,5.4396,0,38
MAR02K12P,high,38.0,0.974359,0.0,38,38
MAR01K24P,high,2.796,0.071692,0.4882,0,3
ATWWP002K12P,high,37.996,0.974256,0.0631,37,38
ATWWP001K24P,high,36.546,0.937077,6.323,7,38
MASR025K,high,30.964,0.793949,13.6809,1,38
MAHS025K,high,37.996,0.974256,0.0631,37,38
SE500G24P,high,38.0,0.974359,0.0,38,38
SE200G24P,high,1.696,0.043487,0.5134,0,2
ATPPCH5X5K,high,0.514,0.013179,0.4998,0,1
ATPA1K24P,high,0.0,0.0,0.0,0,0
MAPA1K24P,high,0.0,0.0,0.0,0,0
MAP1K25P,high,0.0,0.0,0.0,0,0
MAC1K25P,high,0.0,0.0,0.0,0,0
EEA500G12P,high,0.0,0.0,0.0,0,0
EEA200G24P,high,0.0,0.0,0.0,0,0
