node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,low,26.906,0.689897,11.0841,0,38
SOS005L04P,low,28.724,0.736513,9.843,0,38
SOS003L04P,low,26.826,0.687846,11.0379,0,38
SOS002L09P,low,29.876,0.766051,7.3941,0,38
SOS001L12P,low,29.496,0.756308,8.0452,0,37
SOS500M24P,low,28.3,0.725641,9.6901,0,38
SOS250M48P,low,26.646,0.683231,11.2011,0,38
SOP001L12P,low,15.744,0.403692,15.289,0,38
POV005L04P,low,26.75,0.685897,11.0122,0,38
POV002L09P,low,26.958,0.691231,10.9007,0,38
POV001L24P,low,26.806,0.687333,10.8731,0,38
POV500M24P,low,26.654,0.683436,11.0914,0,38
POP001L12P,low,26.548,0.680718,11.3011,0,38
POP015K,low,0.272,0.006974,0.6372,0,4
SO0005L04P,low,0.356,0.009128,0.5668,0,2
SO0002L09P,low,0.16,0.004103,0.3666,0,1
SO0001L12P,low,0.0,0.0,0.0,0,0
SO0500M24P,low,0.0,0.0,0.0,0,0
POP005L04P,low,26.812,0.687487,10.9032,0,38
POP002L09P,low,25.676,0.658359,11.8377,0,38
POP500M24P,low,25.666,0.658103,12.7873,0,38
POPF01L12P,low,29.504,0.756513,8.1372,0,38
AT5X5K,low,27.512,0.705436,10.3145,0,38
ATN02K12P,low,26.864,0.688821,11.0827,0,38
ATN01K24P,low,11.126,0.285282,14.8248,0,38
MAR02K12P,low,29.254,0.750103,8.2035,0,38
MAR01K24P,low,0.584,0.014974,0.7314,0,3
ATWWP002K12P,low,28.714,0.736256,9.2178,0,38
ATWWP001K24P,low,9.524,0.244205,13.0372,0,38
MASR025K,low,2.816,0.072205,7.0701,0,37
MAHS025K,low,26.812,0.687487,11.1779,0,38
SE500G24P,low,23.38,0.599487,13.4077,0,38
SE200G24P,low,0.332,0.008513,0.5232,0,2
ATPPCH5X5K,low,0.112,0.002872,0.3154,0,1
ATPA1K24P,low,0.0,0.0,0.0,0,0
MAPA1K24P,low,0.0,0.0,0.0,0,0
MAP1K25P,low,0.0,0.0,0.0,0,0
MAC1K25P,low,0.0,0.0,0.0,0,0
EEA500G12P,low,0.0,0.0,0.0,0,0
EEA200G24P,low,0.0,0.0,0.0,0,0
