node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,medium,37.496,0.961436,1.5931,5,38
SOS005L04P,medium,37.602,0.964154,0.6194,35,38
SOS003L04P,medium,37.482,0.961077,1.6018,5,38
SOS002L09P,medium,37.55,0.962821,0.6808,34,38
SOS001L12P,medium,37.52,0.962051,0.6969,34,38
SOS500M24P,medium,37.564,0.963179,0.6495,35,38
SOS250M48P,medium,37.56,0.963077,0.6974,34,38
SOP001L12P,medium,33.322,0.85441,11.5785,0,38
POV005L04P,medium,37.45,0.960256,1.7719,1,38
POV002L09P,medium,37.47,0.960769,1.6867,3,38
POV001L24P,medium,37.464,0.960615,1.448,9,38
POV500M24P,medium,37.236,0.954769,3.2912,3,38
POP001L12P,medium,37.57,0.963333,0.6849,34,38
POP015K,medium,0.946,0.024256,1.3338,0,4
SO0005L04P,medium,0.86,0.022051,0.7645,0,2
SO0002L09P,medium,0.398,0.010205,0.4895,0,1
SO0001L12P,medium,0.0,0.0,0.0,0,0
SO0500M24P,medium,0.0,0.0,0.0,0,0
POP005L04P,medium,37.398,0.958923,2.1577,0,38
POP002L09P,medium,37.504,0.961641,1.5906,5,38
POP500M24P,medium,37.306,0.956564,3.4182,0,38
POPF01L12P,medium,37.562,0.963128,0.6182,35,38
AT5X5K,medium,37.448,0.960205,1.6826,3,38
ATN02K12P,medium,37.548,0.962769,0.6868,34,38
ATN01K24P,medium,27.626,0.708359,16.2979,0,38
MAR02K12P,medium,37.54,0.962564,0.6545,35,38
MAR01K24P,medium,1.374,0.035231,0.989,0,3
ATWWP002K12P,medium,37.54,0.962564,0.6931,34,38
ATWWP001K24P,medium,27.268,0.699179,15.2973,0,38
MASR025K,medium,11.438,0.293282,15.5524,0,38
MAHS025K,medium,37.38,0.958462,2.384,1,38
SE500G24P,medium,36.936,0.947077,4.5629,0,38
SE200G24P,medium,0.782,0.020051,0.6946,0,2
ATPPCH5X5K,medium,0.26,0.006667,0.4386,0,1
ATPA1K24P,medium,0.0,0.0,0.0,0,0
MAPA1K24P,medium,0.0,0.0,0.0,0,0
MAP1K25P,medium,0.0,0.0,0.0,0,0
MAC1K25P,medium,0.0,0.0,0.0,0,0
EEA500G12P,medium,0.0,0.0,0.0,0,0
EEA200G24P,medium,0.0,0.0,0.0,0,0
