node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,high,38.0,0.974359,0.0,38,38
SOS005L04P,high,38.0,0.974359,0.0,38,38
SOS003L04P,high,38.0,0.974359,0.0,38,38
SOS002L09P,high,38.0,0.974359,0.0,38,38
SOS001L12P,high,38.0,0.974359,0.0,38,38
SOS500M24P,high,38.0,0.974359,0.0,38,38
SOS250M48P,high,38.0,0.974359,0.0,38,38
SOP001L12P,high,38.0,0.974359,0.0,38,38
POV005L04P,high,38.0,0.974359,0.0,38,38
POV002L09P,high,38.0,0.974359,0.0,38,38
POV001L24P,high,38.0,0.974359,0.0,38,38
POV500M24P,high,38.0,0.974359,0.0,38,38
POP001L12P,high,38.0,0.974359,0.0,38,38
POP015K,high,3.832,0.098256,0.4514,0,4
SO0005L04P,high,1.764,0.045231,0.4943,0,2
SO0002L09P,high,0.808,0.020718,0.3939,0,1
SO0001L12P,high,0.0,0.0,0.0,0,0
SO0500M24P,high,0.0,0.0,0.0,0,0
POP005L04P,high,38.0,0.974359,0.0,38,38
POP002L09P,high,38.0,0.974359,0.0,38,38
POP500M24P,high,38.0,0.974359,0.0,38,38
POPF01L12P,high,38.0,0.974359,0.0,38,38
AT5X5K,high,38.0,0.974359,0.0,38,38
ATN02K12P,high,38.0,0.974359,0.0,38,38
ATN01K24P,high,38.0,0.974359,0.0,38,38
MAR02K12P,high,38.0,0.974359,0.0,38,38
MAR01K24P,high,2.844,0.072923,0.4095,1,3
ATWWP002K12P,high,38.0,0.974359,0.0,38,38
ATWWP001K24P,high,38.0,0.974359,0.0,38,38
MASR025K,high,38.0,0.974359,0.0,38,38
MAHS025K,high,38.0,0.974359,0.0,38,38
SE500G24P,high,38.0,0.974359,0.0,38,38
SE200G24P,high,1.814,0.046513,0.4329,0,2
ATPPCH5X5K,high,1.97,0.050513,0.9804,0,3
ATPA1K24P,high,0.672,0.017231,0.4695,0,1
MAPA1K24P,high,1.24,0.031795,0.804,0,2
MAP1K25P,high,0.0,0.0,0.0,0,0
MAC1K25P,high,0.842,0.02159,0.3647,0,1
EEA500G12P,high,0.0,0.0,0.0,0,0
EEA200G24P,high,0.0,0.0,0.0,0,0
