node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,high,37.756,0.968103,0.5104,35,38
SOS005L04P,high,37.774,0.968564,0.4636,35,38
SOS003L04P,high,37.666,0.965795,1.6717,2,38
SOS002L09P,high,37.22,0.954359,3.893,5,38
SOS001L12P,high,37.746,0.967846,0.5114,35,38
SOS500M24P,high,37.74,0.967692,0.4984,36,38
SOS250M48P,high,37.748,0.967897,0.4985,36,38
SOP001L12P,high,37.776,0.968615,0.4581,36,38
POV005L04P,high,37.744,0.967795,0.4924,35,38
POV002L09P,high,37.768,0.96841,0.4756,35,38
POV001L24P,high,37.762,0.968256,0.4913,35,38
POV500M24P,high,37.736,0.96759,0.5122,35,38
POP001L12P,high,37.746,0.967846,0.5114,35,38
POP015K,high,0.842,0.02159,0.3647,0,1
SO0005L04P,high,0.0,0.0,0.0,0,0
SO0002L09P,high,0.0,0.0,0.0,0,0
SO0001L12P,high,0.0,0.0,0.0,0,0
SO0500M24P,high,0.0,0.0,0.0,0,0
POP005L04P,high,37.778,0.968667,0.4569,36,38
POP002L09P,high,37.764,0.968308,0.4564,36,38
POP500M24P,high,37.75,0.967949,0.477,35,38
POPF01L12P,high,37.734,0.967538,0.5092,36,38
AT5X5K,high,37.756,0.968103,0.4904,35,38
ATN02K12P,high,37.768,0.96841,0.4798,35,38
ATN01K24P,high,37.418,0.959436,3.7282,0,38
MAR02K12P,high,37.778,0.968667,0.474,36,38
MAR01K24P,high,0.842,0.02159,0.3647,0,1
ATWWP002K12P,high,37.67,0.965897,1.676,2,38
ATWWP001K24P,high,31.456,0.806564,13.3402,1,38
MASR025K,high,37.41,0.959231,3.3962,3,38
MAHS025K,high,37.77,0.968462,0.4786,36,38
SE500G24P,high,37.74,0.967692,0.5219,35,38
SE200G24P,high,0.0,0.0,0.0,0,0
ATPPCH5X5K,high,0.0,0.0,0.0,0,0
ATPA1K24P,high,0.0,0.0,0.0,0,0
MAPA1K24P,high,0.0,0.0,0.0,0,0
MAP1K25P,high,0.0,0.0,0.0,0,0
MAC1K25P,high,0.0,0.0,0.0,0,0
EEA500G12P,high,0.0,0.0,0.0,0,0
EEA200G24P,high,0.0,0.0,0.0,0,0
