node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,low,4.066,0.104256,4.6923,0,27
SOS005L04P,low,10.05,0.257692,7.9932,0,31
SOS003L04P,low,3.354,0.086,5.5191,0,29
SOS002L09P,low,2.664,0.068308,4.2004,0,27
SOS001L12P,low,4.994,0.128051,6.0786,0,27
SOS500M24P,low,9.388,0.240718,7.8453,0,30
SOS250M48P,low,5.444,0.13959,5.9782,0,29
SOP001L12P,low,5.144,0.131897,6.9088,0,31
POV005L04P,low,6.6,0.169231,6.8853,0,30
POV002L09P,low,6.708,0.172,6.307,0,29
POV001L24P,low,7.25,0.185897,7.1018,0,27
POV500M24P,low,4.906,0.125795,5.6683,0,30
POP001L12P,low,9.412,0.241333,7.6638,0,33
POP015K,low,0.166,0.004256,0.3721,0,1
SO0005L04P,low,0.0,0.0,0.0,0,0
SO0002L09P,low,0.0,0.0,0.0,0,0
SO0001L12P,low,0.0,0.0,0.0,0,0
SO0500M24P,low,0.0,0.0,0.0,0,0
POP005L04P,low,7.906,0.202718,7.1199,0,30
POP002L09P,low,9.208,0.236103,7.139,0,30
POP500M24P,low,7.424,0.190359,7.4844,0,27
POPF01L12P,low,2.96,0.075897,4.4275,0,26
AT5X5K,low,7.354,0.188564,7.3526,0,31
ATN02K12P,low,9.91,0.254103,7.1186,0,30
ATN01K24P,low,3.564,0.091385,5.7857,0,29
MAR02K12P,low,6.284,0.161128,6.2507,0,31
MAR01K24P,low,0.166,0.004256,0.3721,0,1
ATWWP002K12P,low,5.436,0.139385,6.6216,0,28
ATWWP001K24P,low,1.794,0.046,3.3358,0,24
MASR025K,low,3.338,0.08559,4.525,0,24
MAHS025K,low,9.106,0.233487,7.8227,0,30
SE500G24P,low,4.054,0.103949,5.9234,0,30
SE200G24P,low,0.0,0.0,0.0,0,0
ATPPCH5X5K,low,0.0,0.0,0.0,0,0
ATPA1K24P,low,0.0,0.0,0.0,0,0
MAPA1K24P,low,0.0,0.0,0.0,0,0
MAP1K25P,low,0.0,0.0,0.0,0,0
MAC1K25P,low,0.0,0.0,0.0,0,0
EEA500G12P,low,0.0,0.0,0.0,0,0
EEA200G24P,low,0.0,0.0,0.0,0,0
