node_id,stress_level,raw_fragility,normalized_fragility,std,min_impact,max_impact
SOS008L02P,medium,25.192,0.645949,12.6734,0,38
SOS005L04P,medium,32.724,0.839077,5.01,0,38
SOS003L04P,medium,22.488,0.576615,14.5946,0,38
SOS002L09P,medium,16.6,0.425641,14.5525,0,38
SOS001L12P,medium,27.616,0.708103,11.5957,0,38
SOS500M24P,medium,32.144,0.824205,5.6142,0,38
SOS250M48P,medium,28.638,0.734308,10.3531,0,38
SOP001L12P,medium,27.616,0.708103,11.581,0,38
POV005L04P,medium,28.8,0.738462,10.0525,0,38
POV002L09P,medium,29.796,0.764,8.7205,0,38
POV001L24P,medium,30.7,0.787179,7.6083,0,38
POV500M24P,medium,27.756,0.711692,10.8703,0,38
POP001L12P,medium,32.44,0.831795,4.9702,1,38
POP015K,medium,0.416,0.010667,0.4929,0,1
SO0005L04P,medium,0.0,0.0,0.0,0,0
SO0002L09P,medium,0.0,0.0,0.0,0,0
SO0001L12P,medium,0.0,0.0,0.0,0,0
SO0500M24P,medium,0.0,0.0,0.0,0,0
POP005L04P,medium,31.152,0.798769,7.2986,0,38
POP002L09P,medium,31.77,0.814615,5.284,0,38
POP500M24P,medium,30.822,0.790308,8.1054,0,38
POPF01L12P,medium,20.248,0.519179,14.5532,0,38
AT5X5K,medium,30.756,0.788615,7.9368,0,38
ATN02K12P,medium,32.424,0.831385,4.2038,4,38
ATN01K24P,medium,23.568,0.604308,14.5314,0,38
MAR02K12P,medium,28.192,0.722872,10.2975,0,38
MAR01K24P,medium,0.416,0.010667,0.4929,0,1
ATWWP002K12P,medium,28.034,0.718821,10.8202,0,38
ATWWP001K24P,medium,13.356,0.342462,14.7858,0,38
MASR025K,medium,21.198,0.543538,14.4875,0,38
MAHS025K,medium,32.536,0.834256,5.1808,1,38
SE500G24P,medium,23.62,0.605641,14.0106,0,38
SE200G24P,medium,0.0,0.0,0.0,0,0
ATPPCH5X5K,medium,0.0,0.0,0.0,0,0
ATPA1K24P,medium,0.0,0.0,0.0,0,0
MAPA1K24P,medium,0.0,0.0,0.0,0,0
MAP1K25P,medium,0.0,0.0,0.0,0,0
MAC1K25P,medium,0.0,0.0,0.0,0,0
EEA500G12P,medium,0.0,0.0,0.0,0,0
EEA200G24P,medium,0.0,0.0,0.0,0,0
